id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
0,Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800,Buffet
1,Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800,Buffet
2,San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Buffet
3,Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Buffet
4,Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600,Buffet
5,Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600,Buffet
6,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,,"North Indian, South Indian, Andhra, Chinese",800,Buffet
7,Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,Cafes
8,Penthouse Cafe,Yes,No,4,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700,Cafes
9,Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550,Cafes
10,CafDown The Alley,Yes,No,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Cafes
11,Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600,Cafes
12,The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Cafes
13,Caf-Eleven,No,No,4,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Cafes
14,Cafe Vivacity,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Cafes
15,Catch-up-ino,Yes,No,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Cafes
16,Kirthi's Biryani,Yes,No,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes
17,T3H Cafe,Yes,No,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Cafes
18,360 Atoms Restaurant And Cafe,No,No,3.9,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Cafes
19,The Vintage Cafe,Yes,No,3.1,13,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400,Cafes
20,Woodee Pizza,Yes,No,3,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Cafes
21,Cafe Coffee Day,Yes,No,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Cafes
22,My Tea House,No,No,3.6,28,Banashankari,Cafe,,"Cafe, Fast Food",900,Cafes
23,Hide Out Cafe,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Cafes
24,CAFE NOVA,No,No,3.7,31,Banashankari,Cafe,,Cafe,300,Cafes
25,Coffee Tindi,No,No,3.2,11,Banashankari,Cafe,,"Cafe, Bakery",600,Cafes
26,Sea Green Cafe,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200,Cafes
27,Cuppa,No,No,3.3,4,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500,Cafes
28,Srinathji's Cafe,No,No,3.3,23,Banashankari,Cafe,,"Cafe, Fast Food",550,Cafes
29,Redberrys,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Cafes
30,Foodiction,Yes,No,4,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Cafes
31,Sweet Truth,Yes,No,2.8,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,
32,Ovenstory Pizza,Yes,No,3.9,35,Banashankari,Delivery,,"Bakery, Desserts",500,Delivery
33,Faasos,Yes,No,3.9,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery
34,Behrouz Biryani,Yes,No,4.2,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,
35,Fast And Fresh,Yes,No,3.9,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery
36,Szechuan Dragon,Yes,No,2.8,91,Banashankari,Quick Bites,,"North Indian, Chinese, Fast Food",400,Delivery
37,Empire Restaurant,Yes,No,4.2,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery
38,Maruthi Davangere Benne Dosa,Yes,No,4.4,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,
39,Chaatimes,Yes,No,4,17,Banashankari,Quick Bites,,South Indian,150,Delivery
40,Havyaka Mess,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Delivery
41,McDonald's,No,No,3.9,28,Banashankari,Mess,,South Indian,300,Delivery
42,Domino's Pizza,Yes,No,3.9,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Delivery
43,Hotboxit,Yes,No,3.9,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Delivery
44,Kitchen Garden,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,
45,Recipe,No,No,3.8,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,Delivery
46,Beijing Bites,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,Delivery
47,Tasty Bytes,Yes,No,4,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Delivery
48,Petoo,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery
49,Shree Cool Point,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Delivery
50,Corner House Ice Cream,No,No,3.7,21,Banashankari,Quick Bites,,North Indian,450,Delivery
51,Biryanis And More,Yes,No,4.1,28,Vijay Nagar,Quick Bites,,"Fast Food, Street Food, Beverages",150,Delivery
52,Roving Feast,No,No,4.3,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery
53,FreshMenu,Yes,No,4,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery
54,Banashankari Donne Biriyani,No,No,4,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery
55,Wamama,Yes,No,3.9,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery
56,Five Star Chicken,Yes,No,3.8,104,Banashankari,Quick Bites,,"Biryani, Fast Food",300,Delivery
57,XO Belgian Waffle,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,
58,Peppy Peppers,No,No,3.6,55,Banashankari,Quick Bites,,"Fast Food, Burger",200,Delivery
59,Goa 0 Km,Yes,No,3.7,17,Banashankari,Dessert Parlor,,"Desserts, Beverages",400,Delivery
60,Chinese Kitchen,No,No,4.2,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,
61,1947,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery
62,Cake of the Day,Yes,No,3.8,58,Basavanagudi,Quick Bites,,Chinese,150,Delivery
63,Kabab Magic,No,Yes,4,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Delivery
64,Namma Brahmin's Idli,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",,Bakery,150,Delivery
65,Gustoes Beer House,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Delivery
66,Sugar Rush,Yes,No,3.6,34,Jayanagar,Quick Bites,,South Indian,100,Delivery
67,Burger King,No,No,4.1,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",Delivery
68,The Good Bowl,No,No,3.8,39,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery
69,The Biryani Cafe,Yes,No,3.2,71,Basavanagudi,Quick Bites,,"Burger, Fast Food, Beverages",600,Delivery
70,Spicy Tandoor,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",,"Italian, North Indian, Biryani",500,Delivery
71,LSD Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Delivery
72,Rolls On Wheels,No,No,0,0,Banashankari,Quick Bites,,North Indian,150,Delivery
73,Om Sri Vinayaka Chats,No,No,2.9,84,Banashankari,Delivery,,"Chinese, Continental, Italian, North Indian",700,
74,Sri Guru Kottureshwara Davangere Benne Dosa,No,No,3.6,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery
75,Devanna Dum Biriyani Centre,No,No,0,0,Banashankari,"Takeaway, Delivery",,"Street Food, Fast Food",500,Delivery
76,Kolbeh,Yes,No,4.1,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery
77,Upahar Sagar,Yes,No,3.6,28,Banashankari,Quick Bites,,"Biryani, South Indian",300,Delivery
78,Kadalu Sea Food Restaurant,No,No,3.7,22,Banashankari,Quick Bites,,Fast Food,500,Delivery
79,Frozen Bottle,No,No,3.8,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery
80,Parimala Sweets,Yes,No,3.8,153,Vijay Nagar,Fine Dining,,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery
81,Vaishali Deluxe,Yes,No,4.2,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery
82,The Big O Bakes,No,No,3.5,14,Banashankari,Sweet Shop,,"Mithai, Street Food",200,Delivery
83,Meghana Foods,No,No,3.8,42,Banashankari,Casual Dining,,"North Indian, Chinese",700,Delivery
84,Krishna Sagar,No,No,4,66,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery
85,Dessert Rose,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery
86,Chickpet Donne Biryani House,No,No,3.5,31,Banashankari,Quick Bites,,North Indian,200,Delivery
87,Thanco's Natural Ice Creams,No,No,3.5,7,Banashankari,Dessert Parlor,,Desserts,500,Delivery
88,Nandhini Deluxe,No,No,3.7,21,Banashankari,Quick Bites,,Biryani,250,Delivery
89,Vi Ra's Bar and Restaurant,No,No,3.2,9,Banashankari,Dessert Parlor,,Ice Cream,300,Delivery
90,Kaggis,No,No,2.6,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery
91,Ayda Persian Kitchen,No,No,3.3,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery
92,Chatar Patar,No,No,3.8,64,Banashankari,Quick Bites,,"Fast Food, Bakery",250,Delivery
93,Polar Bear,No,No,3.7,39,Banashankari,Casual Dining,,"North Indian, Iranian",950,Delivery
94,Kidambi's Kitchen,No,No,3.7,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery
95,Mane Thindi,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
96,Kotian Karavali Restaurant,No,No,3.5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Delivery
97,Floured-Baked With Love,No,No,3.7,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery
98,Cakes & Slices,No,No,3.5,10,Banashankari,Quick Bites,,"South Indian, Biryani",300,Delivery
99,Spice 9,No,No,3.8,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery
100,Naveen Kabab & Biriyani Mane,No,No,3.2,11,Banashankari,Cafe,,"Cafe, Bakery",600,Delivery
101,Katriguppe Donne Biryani,No,No,3.5,13,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery
102,Hari Super Sandwich,No,No,3.4,8,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",300,Delivery
103,Atithi Point Ande Ka Funda,No,No,3.2,9,Banashankari,Quick Bites,,Biryani,300,Delivery
104,Just Bake,No,No,3.2,4,Banashankari,Quick Bites,,North Indian,300,Delivery
105,K27 - The Pub,No,No,0,0,Banashankari,"Takeaway, Delivery",,"Sandwich, Pizza, Beverages",200,Delivery
106,Bengaluru Coffee House,No,No,3.1,29,Banashankari,Quick Bites,,North Indian,150,Delivery
107,New Mangalore Lunch Home,No,No,3.4,8,Banashankari,Bakery,,"Bakery, Desserts",400,Delivery
108,Coffee Bytes,No,No,3.1,30,Banashankari,Bar,,"Chinese, North Indian","1,000",Delivery
109,Parjanya Chat Zone,Yes,No,4.1,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery
110,Kwality Wall's Swirl's Happiness Station,No,No,3.3,7,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",200,Delivery
111,Ruchi Maayaka,No,No,3.1,6,Banashankari,Quick Bites,,"Fast Food, South Indian",100,Delivery
112,Roll Magic Fast Food,No,No,3.3,17,Banashankari,Quick Bites,,"Street Food, Fast Food",200,Delivery
113,Foodlieious Multi Cuisine,No,No,2.9,25,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",200,Delivery
114,Thanishka Nati And Karavali Style,No,No,3.3,8,Banashankari,Delivery,,South Indian,100,Delivery
115,Melting Melodies,No,No,0,0,Banashankari,"Takeaway, Delivery",,"Biryani, Rolls, Chinese",200,Delivery
116,New Indraprasta,No,No,0,0,Banashankari,Quick Bites,,North Indian,100,Delivery
117,Anna Kuteera,No,No,0,0,Banashankari,Quick Bites,,"Biryani, Fast Food",400,Delivery
118,Darbar,No,No,0,0,Banashankari,"Takeaway, Delivery",,"Pizza, Fast Food",100,Delivery
119,Vijayalakshmi,No,No,0,0,Banashankari,Quick Bites,,"South Indian, Beverages",150,Delivery
120,Sri Udupi Food Hub,Yes,No,4,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery
121,Udupi Upahar,No,No,3,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery
122,House Of Kebabs,Yes,No,3.9,47,Basavanagudi,Quick Bites,,South Indian,200,Delivery
123,Roll N Rock,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery
124,BOX8- Desi Meals,Yes,No,3.8,58,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",300,Delivery
125,KFC,Yes,No,3.8,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery
126,Bitez,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery
127,Roll Over,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery
128,Imperial Restaurant,Yes,No,3.8,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery
129,Lassi Shop,No,No,0,0,Banashankari,Quick Bites,,Fast Food,100,Delivery
130,The Fortuna,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
131,Wahab,Yes,No,3.7,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery
132,Al Diwan Biryanis And More,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,,"Beverages, Juices, Ice Cream",150,Delivery
133,New Gowda's Fried Chicken,Yes,No,3,67,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",250,Delivery
134,Canton,Yes,No,3.7,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350,Delivery
135,Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",,Biryani,300,Delivery
136,The Blue Wagon - Kitchen,Yes,No,3.3,12,Banashankari,Quick Bites,,Biryani,300,Delivery
137,HOT COFFEE,Yes,No,3.6,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800,Delivery
138,Patio 805,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",300,Delivery
139,Lassi Corner,Yes,No,4.6,228,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400,Delivery
140,Sagar Deluxe,Yes,No,4.1,70,Basavanagudi,Quick Bites,,"South Indian, Chinese",150,Delivery
141,Kanti Sweets,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese","1,200",Delivery
142,Vegetalia,Yes,No,3.7,107,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150,Delivery
143,Aramane Donne Biryani,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300,Delivery
144,Ande Ka Funda,Yes,No,4,115,Banashankari,Sweet Shop,,"Mithai, Street Food",400,Delivery
145,Cake Ghar,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",,"Italian, Pizza",400,Delivery
146,Energy Addaa,Yes,No,3.5,57,Banashankari,Quick Bites,,Biryani,200,Delivery
147,Bhattara Bhojana,Yes,No,3.8,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250,Delivery
148,Tandoori Knight,Yes,No,3.8,15,Basavanagudi,Bakery,,Bakery,400,Delivery
149,Dev Sagar - Food Street,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery
150,Mitraa Da Pizza,Yes,No,3.6,66,Banashankari,Quick Bites,,South Indian,150,Delivery
151,Paradise Premium,Yes,No,3,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450,Delivery
152,Grazers,Yes,No,4.1,233,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200,Delivery
153,Shakes Theory,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250,Delivery
154,@Italy,Yes,No,3.1,119,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery
155,Chilli Flakes,Yes,Yes,3.9,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650,Delivery
156,Calcutta Cafe,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300,Delivery
157,Old Mumbai Ice Cream,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Delivery
158,Donne Biriyani House,Yes,No,3.6,46,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500,Delivery
159,By 2 Coffee,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,,"Bengali, Chinese, Sandwich",350,Delivery
160,Kedia's Fun Food,Yes,No,3.9,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Delivery
161,Davangere Butter Dosa Hotel,Yes,No,3.9,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400,Delivery
162,Just Shawarma,Yes,No,3.9,25,Basavanagudi,Quick Bites,,South Indian,100,Delivery
163,Mini Punjabi Dhaba,Yes,No,4.3,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200,Delivery
164,Mulabagilu Dosa,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,,South Indian,150,Delivery
165,Gokul Veg,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery
166,Olive - Era,Yes,No,4.2,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350,Delivery
167,Udupi Ruchi,Yes,No,3.6,11,Basavanagudi,Quick Bites,,South Indian,100,Delivery
168,Madhappa Hindu Military Hotel,Yes,No,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500,Delivery
169,Gama Gama,Yes,No,3.8,469,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750,Delivery
170,Pizza Hut,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery
171,Mangalore Pearl,Yes,No,3.9,57,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200,Delivery
172,Asha Sweets Centre,Yes,No,3.4,14,Banashankari,Quick Bites,,South Indian,300,Delivery
173,Twiststick House,Yes,No,3.9,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200,Delivery
174,Cool Corner,Yes,No,3,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Delivery
175,Pizza Mane,Yes,No,3.8,693,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750,Delivery
