id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14442,,Yes,No,2.9,132,BTM,Quick Bites,Lassi,"Chinese, North Indian",300,Delivery
14443,,Yes,No,3.9,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery
14444,,Yes,No,3.8,182,Bannerghatta Road,Food Court,"Butter Chicken, Chole, Chicken Tikka, Biryani Combo, Roti, Tandoori Chicken, Naan","North Indian, Biryani",600,Delivery
14445,,Yes,No,4.2,380,JP Nagar,Casual Dining,"Paneer Biryani, Raita, Gulab Jamun, Vegetable Biryani, Dum Biryani, Chicken Boneless Biryani, Chicken Kebab Biryani","Biryani, Kebab",750,Delivery
14446,,Yes,Yes,4,743,Bannerghatta Road,Casual Dining,"Chicken Biryani, Basmati Rice, Prawn, Tandoori Chicken, Vegetable Biryani, Galauti Kebab, Faluda","Biryani, North Indian, Mughlai",800,Delivery
14447,,Yes,No,3.7,129,Bannerghatta Road,"Takeaway, Delivery","Chicken Biryani, Chicken Kebab","Biryani, North Indian",400,Delivery
14448,,Yes,No,3.8,65,Kumaraswamy Layout,Quick Bites,,Street Food,200,Delivery
14449,,Yes,No,3.2,5,Bannerghatta Road,Quick Bites,,Biryani,300,Delivery
14450,,Yes,No,3.2,94,Bannerghatta Road,Quick Bites,,"North Indian, Chinese",350,Delivery
14451,,Yes,No,4,183,JP Nagar,Sweet Shop,"Rasmalai, Pav Bhaji","Mithai, Street Food",400,Delivery
14452,,Yes,No,3.4,18,JP Nagar,"Takeaway, Delivery",,Arabian,400,Delivery
14453,,Yes,No,3.3,22,Bannerghatta Road,Casual Dining,,"North Indian, Chinese",600,Delivery
14454,,Yes,No,3.9,34,BTM,Bakery,,"Bakery, Desserts",500,Delivery
14455,,Yes,No,3.7,171,JP Nagar,Quick Bites,Coffee,"Fast Food, North Indian, South Indian",200,
14456,,Yes,No,4,193,Kumaraswamy Layout,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Street Food, Beverages",300,Delivery
14457,,Yes,No,2.9,65,BTM,Casual Dining,"Egg Tadka, Roti, Veg Thali","Oriya, Bengali",500,Delivery
14458,,Yes,No,3.8,209,Bannerghatta Road,Casual Dining,"Chicken Boneless Biryani, Lemon Chicken, Dum Biryani","Biryani, Andhra, North Indian",700,Delivery
14459,,Yes,No,4.2,102,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Spring Roll, Noodles, Fried Rice, Fries","Chinese, Continental, Fast Food, Healthy Food",300,Delivery
14460,,Yes,No,3,177,Kumaraswamy Layout,Quick Bites,,"Chinese, North Indian",400,Delivery
14461,,Yes,No,3.9,136,Jayanagar,Quick Bites,"Paratha, Coffee, Halwa, Lassi","Street Food, North Indian, South Indian",400,Delivery
14462,,Yes,No,3.5,19,Kanakapura Road,Casual Dining,,"South Indian, Chinese, North Indian",400,Delivery
14463,,Yes,No,3.3,513,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Chinese, Kebab, Beverages",700,Delivery
14464,,Yes,No,3.7,41,Kumaraswamy Layout,Quick Bites,,"South Indian, North Indian, Chinese, Fast Food",200,Delivery
14465,,Yes,No,2.6,231,Kumaraswamy Layout,Quick Bites,Aloo Paratha,"North Indian, Chinese, Rolls, Biryani, Kebab",400,Delivery
14466,,Yes,No,4,97,Bannerghatta Road,Delivery,Lasagne,"Mexican, Italian",600,Delivery
14467,,Yes,No,3,354,JP Nagar,Quick Bites,"Kheer, Lassi, Paratha, Amritsari Kulcha, Dal Makhani, Chole Bhature, Aloo Kulcha","North Indian, Chinese, Street Food",400,Delivery
14468,,Yes,No,3.9,47,JP Nagar,Sweet Shop,Samosa,"Mithai, Street Food",100,Delivery
14469,,Yes,No,3.7,126,Kumaraswamy Layout,Casual Dining,"Biryani, Chicken Grill, Butter Chicken","Biryani, North Indian, Chinese, Seafood",750,Delivery
14470,,Yes,No,3.7,34,BTM,Quick Bites,,"North Indian, Chinese",300,Delivery
14471,,Yes,No,3.5,46,Kumaraswamy Layout,Quick Bites,,"Bengali, Chinese, Sandwich",350,Delivery
14472,,Yes,Yes,4.2,2206,JP Nagar,"Pub, Casual Dining","Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea","American, Chinese, Continental, North Indian","1,200",Delivery
14473,,Yes,No,3.6,42,Kanakapura Road,"Casual Dining, Bar",,"Chinese, North Indian, Mughlai",500,Delivery
14474,,Yes,No,3.6,4,JP Nagar,"Takeaway, Delivery",,"Mithai, Desserts",200,Delivery
14475,,Yes,No,3.8,38,JP Nagar,Takeaway,,"Street Food, Sandwich",150,Delivery
14476,,Yes,Yes,3.9,1230,Bannerghatta Road,Casual Dining,"Shawarma, Biryani, Chicken Grill, Rolls, Tomato Soup, Chicken Shawarama, Haleem","Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",900,Delivery
14477,,Yes,No,3.9,142,Bannerghatta Road,Beverage Shop,,"Juices, Beverages",300,Delivery
14478,,Yes,No,3.8,578,Jayanagar,Casual Dining,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish","North Indian, South Indian, Biryani, Beverages",900,Delivery
